N,P,K,temperature,humidity,ph,rainfall,label
26.76,40.06,24.57,31.28,67.23,6.52,75.97,maize
20.77,27.78,28.85,27.65,65.37,6.67,100.65,maize
30.48,28.89,18.97,26.52,61.04,6.32,99.44,maize
19.85,28.54,10.97,27.83,60.49,6.73,101.24,maize
14.71,30.45,14.24,28.64,69.02,5.94,101.73,maize
21.2,35.36,19.07,26.5,64.04,6.26,116.14,maize
22.11,41.51,17.7,26.58,60.46,5.96,76.24,maize
23.34,34.54,10.09,29.79,63.55,6.54,124.18,maize
26.48,30.66,13.54,23.7,62.84,6.44,85.19,maize
21.34,32.38,16.88,26.7,65.51,6.63,83.64,maize
29.05,31.51,18.09,29.42,65.7,6.79,104.31,maize
18.94,33.81,12.28,28.22,64.9,6.44,98.07,maize
12.59,29.26,18.46,28.32,61.92,6.88,87.01,maize
26.85,34.14,14.77,31.55,61.42,6.78,115.01,maize
18.65,38.96,16.75,28.58,65.78,6.46,112.16,maize
25.97,23.26,24.52,24.68,68.1,6.84,83.64,maize
19.95,26.47,16.93,27.38,67.34,6.89,120.94,maize
19.19,30.95,9.58,26.39,67.89,6.98,81.48,maize
19.04,31.87,19.4,26.38,66.27,6.36,99.78,maize
24.73,32.03,15.82,27.78,64.73,6.39,96.12,maize
29.99,34.8,16.52,29.39,64.0,6.85,105.54,maize
21.46,34.24,10.15,25.75,61.42,6.54,125.99,maize
33.16,35.19,20.5,24.4,63.37,6.26,90.69,maize
21.16,29.64,8.1,29.5,61.78,6.57,131.11,maize
17.4,19.35,16.57,30.2,70.88,6.13,107.45,maize
19.67,31.47,31.22,24.99,65.76,6.64,116.29,maize
22.49,33.54,16.04,28.54,63.97,6.69,94.46,maize
23.89,31.85,23.63,27.9,59.68,6.88,86.41,maize
18.73,29.02,24.87,23.73,74.41,6.82,103.35,maize
21.73,33.43,20.61,29.29,66.67,6.53,97.04,maize
21.24,31.03,23.67,29.19,56.18,6.7,102.92,maize
21.91,30.06,23.62,29.9,62.68,6.62,85.43,maize
15.1,28.87,22.31,29.91,66.54,6.72,107.74,maize
18.79,34.16,22.0,29.51,68.57,6.71,105.27,maize
27.35,31.87,13.59,27.67,62.77,6.3,97.83,maize
18.04,30.46,8.53,28.43,65.0,6.25,109.89,maize
26.69,23.96,14.19,26.46,62.18,6.75,97.09,maize
20.68,21.98,21.18,25.52,65.18,6.58,120.41,maize
15.46,16.9,18.92,31.6,68.72,6.56,92.63,maize
26.04,27.13,20.38,29.01,68.18,7.33,105.89,maize
19.46,31.87,9.15,26.61,63.77,6.34,102.29,maize
17.89,37.61,18.0,27.98,64.02,6.55,112.38,maize
17.66,28.71,16.48,25.31,62.54,6.36,113.12,maize
23.31,32.97,22.25,27.73,66.17,6.47,103.98,maize
19.09,19.81,17.33,30.85,67.78,6.79,118.54,maize
22.44,32.99,14.91,27.37,66.85,6.86,97.91,maize
19.75,32.0,21.01,25.11,58.11,6.33,81.69,maize
19.46,31.26,15.73,30.9,65.98,6.59,109.33,maize
16.31,37.2,17.62,29.34,61.78,6.03,112.27,maize
23.88,27.49,13.65,30.25,61.43,6.99,86.49,maize
25.19,30.36,21.02,26.91,64.51,6.51,84.97,maize
25.7,29.43,16.86,26.01,57.31,6.44,136.19,maize
25.92,31.9,16.69,28.04,66.64,6.15,116.71,maize
25.58,35.59,20.19,28.04,67.02,6.68,94.69,maize
19.13,32.51,25.75,25.52,60.6,6.55,100.76,maize
22.87,33.22,16.88,30.98,60.2,6.25,98.45,maize
13.78,31.12,26.31,28.04,65.69,6.12,90.75,maize
20.12,30.41,24.41,29.12,61.67,6.57,107.47,maize
27.7,39.9,12.92,26.38,61.23,6.43,107.0,maize
26.94,31.62,16.4,28.3,62.49,7.13,75.89,maize
22.92,42.12,18.03,27.62,63.93,6.45,120.59,maize
10.94,39.67,10.88,27.47,63.71,6.68,76.03,maize
24.31,42.12,11.18,28.38,63.01,6.63,100.29,maize
18.79,34.44,27.02,27.62,67.16,6.11,85.65,maize
24.36,39.42,19.78,27.37,65.0,6.12,109.07,maize
26.41,29.74,15.65,28.53,63.69,6.48,131.5,maize
20.76,30.21,14.76,29.49,64.46,6.31,119.82,maize
29.1,29.0,8.67,30.02,62.95,6.74,70.45,maize
26.46,25.94,21.65,28.03,62.14,6.38,110.29,maize
22.53,34.92,27.88,24.87,69.85,6.53,86.52,maize
15.35,31.05,22.61,27.74,69.53,6.06,99.82,maize
15.74,33.82,22.43,27.16,57.19,6.56,106.55,maize
24.02,38.18,12.64,29.36,68.58,5.97,104.79,maize
19.48,31.59,19.74,27.03,62.97,6.51,83.69,maize
16.57,35.4,12.26,29.33,66.39,5.98,89.84,maize
27.97,27.09,15.68,28.92,67.35,6.42,91.04,maize
29.11,40.69,22.89,28.17,62.58,6.25,107.84,maize
24.09,39.01,21.25,24.99,68.16,6.2,94.24,maize
23.25,41.98,33.55,29.21,64.45,6.66,113.31,maize
20.4,40.98,19.15,29.0,67.0,6.63,112.58,maize
18.91,29.21,12.5,28.88,67.34,6.64,125.12,maize
21.97,35.34,12.54,27.23,67.09,6.75,95.59,maize
21.64,24.41,16.21,29.78,66.73,6.65,100.75,maize
22.04,28.7,21.49,28.84,66.48,6.34,67.7,maize
27.49,29.61,13.69,29.39,63.82,6.82,109.26,maize
25.42,25.17,24.06,28.52,63.89,6.54,73.36,maize
24.04,26.85,11.24,24.96,68.34,6.31,123.01,maize
19.32,23.46,12.42,30.47,64.53,6.34,102.4,maize
24.51,37.59,25.24,27.28,61.02,6.38,103.9,maize
17.18,27.21,19.72,27.9,65.1,6.27,96.54,maize
17.38,36.45,23.18,24.31,62.21,6.05,90.25,maize
21.58,24.75,13.39,25.99,65.62,6.52,89.17,maize
22.88,29.27,16.64,31.35,69.02,6.11,112.45,maize
26.06,26.26,22.09,31.08,61.63,6.22,115.26,maize
23.36,34.76,19.7,28.78,61.02,6.81,117.54,maize
20.85,31.78,10.34,29.03,66.72,6.48,116.87,maize
20.33,34.82,12.9,27.95,64.48,6.57,94.46,maize
21.34,36.13,15.82,24.79,70.25,6.91,80.62,maize
25.45,29.49,19.32,28.59,64.3,6.26,89.64,maize
17.42,27.84,17.66,26.57,67.05,6.95,91.3,maize
23.2,34.5,20.36,28.15,67.23,6.64,81.44,maize
26.35,36.44,14.18,28.08,67.05,6.44,116.09,maize
33.82,28.07,11.09,28.61,67.16,6.43,121.8,maize
15.31,35.46,14.97,31.44,70.98,6.27,91.76,maize
26.3,30.06,17.77,28.05,59.24,6.5,89.65,maize
19.53,39.22,11.72,29.63,64.16,6.42,111.86,maize
23.7,34.85,22.84,27.34,63.16,6.17,87.62,maize
36.75,38.22,11.24,25.36,66.45,6.66,108.23,maize
20.73,31.37,19.64,28.17,58.34,6.43,87.23,maize
22.88,46.93,19.84,27.37,67.77,6.64,106.3,maize
25.03,42.28,12.35,28.95,62.22,6.67,86.22,maize
19.91,30.52,22.88,29.84,61.26,6.52,89.36,maize
15.71,30.91,16.46,32.85,66.3,6.09,91.53,maize
27.11,42.44,10.07,24.24,70.61,6.62,86.98,maize
24.67,18.82,18.02,28.66,67.77,6.2,101.29,maize
17.37,33.28,13.52,27.18,62.01,6.7,112.88,maize
20.83,32.19,10.76,27.4,64.85,7.29,83.32,maize
29.32,36.98,19.4,31.52,66.12,6.62,99.2,maize
28.12,37.48,14.87,25.36,64.39,6.26,99.05,maize
28.19,29.71,17.79,28.12,67.55,5.83,90.9,maize
23.06,38.0,15.54,24.25,66.86,6.31,82.16,maize
18.88,31.08,14.98,23.59,67.69,6.88,109.77,maize
16.31,30.99,17.97,29.2,67.01,6.28,101.23,maize
24.29,39.28,21.52,29.58,65.25,6.92,106.15,maize
17.69,39.02,21.49,27.11,63.56,6.59,106.95,maize
22.99,33.56,26.5,30.14,65.57,6.78,84.51,maize
23.99,41.05,16.91,26.3,63.04,6.17,88.23,maize
20.15,24.97,18.08,29.8,62.28,6.96,107.66,maize
27.15,28.71,22.27,25.82,67.67,6.55,108.3,maize
16.12,27.52,20.99,26.1,66.39,6.09,112.72,maize
15.84,34.76,21.13,26.61,66.75,6.58,91.92,maize
16.96,22.19,19.75,24.87,65.29,6.42,110.19,maize
20.49,30.35,21.66,28.67,65.95,6.64,76.97,maize
25.78,35.06,12.92,27.51,64.88,6.46,105.01,maize
29.16,37.41,11.44,29.24,68.99,6.62,116.36,maize
32.06,37.12,19.25,30.09,65.43,6.51,94.73,maize
29.82,27.91,25.66,29.0,60.8,6.61,68.5,maize
25.13,36.43,15.04,28.25,70.86,6.35,84.12,maize
29.41,41.81,18.02,30.02,69.02,6.28,92.72,maize
28.15,40.43,20.81,26.24,70.96,6.34,94.97,maize
23.71,39.77,22.27,28.83,66.39,6.51,108.37,maize
9.35,30.52,19.21,25.7,66.16,6.44,126.33,maize
29.87,29.67,17.25,27.85,63.65,6.56,88.63,maize
16.35,35.11,21.15,26.39,67.69,6.31,103.8,maize
26.1,31.83,20.27,26.97,64.41,6.44,88.8,maize
21.12,24.26,15.54,27.43,64.23,6.43,99.07,maize
24.4,36.37,14.75,25.59,61.87,6.35,94.72,maize
18.15,25.52,15.72,28.36,66.79,6.33,93.81,maize
17.37,31.84,13.76,29.15,59.64,6.39,104.52,maize
22.92,45.47,19.75,25.99,64.71,5.97,98.79,maize
17.83,36.58,15.25,27.77,63.09,7.02,95.18,maize
31.16,36.07,20.41,28.74,66.18,5.92,95.82,maize
26.23,31.76,10.97,27.9,70.11,6.87,99.07,maize
26.76,30.17,9.48,26.15,69.69,6.42,96.35,maize
20.5,41.52,26.13,32.44,64.52,6.59,77.25,maize
29.38,26.16,19.08,25.81,63.23,6.25,90.88,maize
19.3,29.26,22.17,25.79,65.66,6.87,92.3,maize
18.41,30.85,23.9,28.39,63.41,6.65,83.47,maize
25.41,34.04,16.46,26.32,62.34,6.66,118.43,maize
18.81,34.29,7.56,26.83,64.91,6.23,85.95,maize
18.66,33.46,17.06,23.52,58.64,6.32,106.87,maize
8.26,29.5,15.37,30.78,63.84,6.61,102.12,maize
11.35,35.84,19.08,29.02,76.78,5.87,125.87,maize
20.56,33.44,17.77,27.15,63.29,6.6,77.24,maize
25.75,29.92,12.35,27.1,68.77,6.34,105.38,maize
18.35,35.79,21.43,31.7,64.47,6.7,101.47,maize
28.48,28.41,21.73,27.61,64.81,6.53,103.78,maize
21.42,33.07,25.89,29.97,67.61,6.36,86.66,maize
26.78,36.38,25.36,26.79,64.31,6.01,94.11,maize
26.98,29.67,21.2,27.62,65.97,6.16,101.28,maize
7.04,31.07,9.85,30.41,67.33,6.64,122.82,maize
17.26,40.74,22.66,27.53,68.41,6.17,87.63,maize
18.96,29.36,12.72,30.45,64.22,6.61,91.44,maize
12.9,33.35,8.44,27.86,60.9,7.1,113.67,maize
22.53,38.32,13.77,29.09,65.6,6.58,119.09,maize
25.66,33.44,9.73,26.08,64.63,6.53,83.05,maize
34.06,39.58,21.01,28.14,64.36,6.21,101.16,maize
23.29,25.79,19.67,27.69,59.28,6.24,93.8,maize
31.44,34.78,11.32,28.97,60.36,6.82,92.93,maize
21.53,38.63,11.56,25.21,63.25,6.81,77.21,maize
7.84,29.74,20.76,30.4,63.61,6.38,117.31,maize
12.65,30.06,18.95,28.9,63.47,6.51,62.68,maize
18.71,34.27,13.09,28.12,66.34,6.4,102.56,maize
17.19,30.97,21.05,28.31,63.24,6.57,110.72,maize
11.75,37.8,16.32,28.85,68.59,6.09,89.36,maize
20.56,28.08,26.67,26.29,63.33,6.56,81.97,maize
20.02,33.59,16.34,27.81,63.41,6.05,104.82,maize
30.77,32.09,19.13,29.39,61.19,7.01,103.03,maize
30.16,28.33,27.09,29.55,66.66,6.57,96.27,maize
28.0,32.7,8.16,25.77,64.44,6.59,99.15,maize
28.09,22.24,18.72,24.36,67.28,6.47,106.29,maize
17.68,38.4,23.21,29.17,64.61,6.67,89.4,maize
26.28,40.25,23.35,26.54,66.08,6.11,108.59,maize
24.25,22.65,12.19,27.43,64.1,6.14,105.83,maize
23.26,31.03,14.22,30.1,69.97,6.35,90.82,maize
24.46,30.21,17.3,29.48,59.27,6.9,101.09,maize
19.94,31.55,17.81,24.54,69.48,6.51,106.65,maize
26.76,26.89,20.37,27.46,67.54,5.86,98.51,maize
18.99,34.16,20.35,26.58,62.86,6.47,86.55,maize
